votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,0,0,0,0,0,1,0,0,1,4,1,8,59,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,5,0,7,39,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,8,63,0,0,0,1,1,1
0,0,0,0,0,0,1,0,1,0,2,1,5,55,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,76,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,2,1,9,64,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,1,75,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,5,1,10,54,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,0,1,1,2,64,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,59,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,3,66,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,,25,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,92,0,1,1,0,0,0
0,0,1,0,0,0,0,0,1,0,5,1,9,41,0,1,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,1,57,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,,83,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,3,0,,51,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,4,0,10,61,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,1,5,1,5,43,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,9,44,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,4,1,8,39,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,,34,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,3,0,5,28,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,10,62,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,1,89,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,3,0,2,67,0,1,0,1,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,59,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,8,46,0,1,0,1,1,0
0,0,0,0,0,0,1,0,0,1,4,1,5,40,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,1,27,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,7,52,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,5,1,8,25,0,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,2,1,3,54,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,9,33,0,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,3,0,6,53,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,3,0,4,54,0,1,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,6,35,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,2,0,1,57,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,4,0,7,51,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,5,1,6,22,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,2,75,0,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,3,0,8,49,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,8,24,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,59,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,1,54,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,,47,0,1,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,9,65,0,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0,1,1,,76,1,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,3,1,2,27,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,8,55,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,5,1,1,35,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,8,45,1,0,0,1,1,0
0,0,1,0,0,0,0,0,1,0,3,1,2,36,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,1,10,28,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,1,66,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,2,1,1,56,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,55,1,0,1,0,0,0
0,1,0,1,0,0,0,0,1,0,3,1,5,27,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,,72,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,1,3,1,8,47,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,3,0,3,50,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,0,6,41,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,4,1,8,58,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,3,1,1,38,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,4,38,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,1,1,,68,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,4,30,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,0,5,37,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,2,1,1,66,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,6,21,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,6,45,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,,56,1,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,4,0,4,48,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,1,53,1,0,0,0,0,1
1,1,0,1,0,0,0,0,0,1,5,1,3,31,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,68,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,3,0,2,65,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,5,47,1,0,0,1,1,1
0,1,0,1,0,0,0,0,1,0,3,1,7,21,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,2,47,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0,5,1,,29,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,1,1,,65,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,83,1,0,1,0,0,1
1,1,0,1,0,0,0,1,0,0,4,1,,36,1,0,1,0,1,0
